Date : 2021-03-08 17:05:08
Directory : /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src
Total : 58 files,  2852 codes, 69 comments, 420 blanks, all 3341 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/PhoneApps/Messaging/MessageInput/MessageInput.jsx           | JavaScript |         26 |          1 |          4 |         31 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/PhoneApps/Messaging/MessageList/MessageList.jsx             | JavaScript |         33 |          2 |          8 |         43 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/PhoneApps/Messaging/MessageUserDetail/MessageUserDetail.jsx | JavaScript |         34 |          3 |          9 |         46 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/PhoneApps/Messaging/Messaging.jsx                           | JavaScript |         54 |          2 |         13 |         69 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/PhoneApps/Online.jsx                                        | JavaScript |         36 |          1 |          9 |         46 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/PhoneApps/WhiteBoard.jsx                                    | JavaScript |         70 |          1 |         11 |         82 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/Player.css                                                  | CSS        |         18 |          0 |          2 |         20 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/Player.jsx                                                  | JavaScript |         33 |          2 |          7 |         42 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/WhiteBoardCompleted/WhiteBoardCompleted.css                 | CSS        |         20 |          0 |          4 |         24 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/WhiteBoardCompleted/WhiteBoardCompleted.jsx                 | JavaScript |         53 |          0 |         10 |         63 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/WhiteBoardCreate/WhiteBoardCreate.jsx                       | JavaScript |         34 |          0 |          7 |         41 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/WhiteBoardHeader/WhiteBoardHeader.jsx                       | JavaScript |         27 |          2 |          4 |         33 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/WhiteBoardInProgress/WhiteBoardInProgress.css               | CSS        |         20 |          0 |          4 |         24 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/WhiteBoardInProgress/WhiteBoardInProgress.jsx               | JavaScript |         57 |          0 |         13 |         70 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/WhiteBoardTodo/WhiteBoardTodo.css                           | CSS        |         20 |          0 |          4 |         24 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/WhiteBoardTodo/WhiteBoardTodo.jsx                           | JavaScript |         57 |          0 |         14 |         71 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/app/App.jsx                                                 | JavaScript |         10 |          0 |          2 |         12 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/app/App.test.jsx                                            | JavaScript |         10 |          0 |          2 |         12 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/arrows/Arrow.jsx                                            | JavaScript |         16 |          2 |          3 |         21 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/arrows/Arrows.css                                           | CSS        |         14 |          0 |          2 |         16 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/maps/fullMaps.js                                            | JavaScript |        671 |          2 |         17 |        690 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/components/maps/hallway2.js                                            | JavaScript |        112 |         19 |          2 |        133 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/containers/Containers.css                                              | CSS        |        228 |          0 |         36 |        264 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/containers/Engine.jsx                                                  | JavaScript |        203 |          2 |         36 |        241 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/containers/Frame.jsx                                                   | JavaScript |         17 |          0 |          3 |         20 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/containers/LandingPage.jsx                                             | JavaScript |          3 |          0 |          3 |          6 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/containers/Phone.jsx                                                   | JavaScript |         70 |          2 |         16 |         88 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/hooks/index.js                                                         | JavaScript |          4 |          0 |          2 |          6 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/hooks/useEvent.js                                                      | JavaScript |         10 |          0 |          5 |         15 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/index.html                                                             | HTML       |         12 |          0 |          4 |         16 |
| /Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/index.js                                                               | JavaScript |         11 |          0 |          2 |         13 |
