"filename", "language", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/containers/Containers.css", "CSS", 0, 228, 0, 0, 36, 264
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/containers/Engine.jsx", "JavaScript", 203, 0, 0, 2, 36, 241
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/containers/Frame.jsx", "JavaScript", 17, 0, 0, 0, 3, 20
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/containers/LandingPage.jsx", "JavaScript", 3, 0, 0, 0, 3, 6
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/containers/Phone.jsx", "JavaScript", 70, 0, 0, 2, 16, 88
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/hooks/index.js", "JavaScript", 4, 0, 0, 0, 2, 6
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/hooks/useEvent.js", "JavaScript", 10, 0, 0, 0, 5, 15
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/index.html", "HTML", 0, 0, 12, 0, 4, 16
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/index.js", "JavaScript", 11, 0, 0, 0, 2, 13
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/reducers/userReducer.js", "JavaScript", 15, 0, 0, 0, 5, 20
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/selectors/userSelector.js", "JavaScript", 1, 0, 0, 0, 1, 2
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 1, 2
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/store.js", "JavaScript", 5, 0, 0, 0, 3, 8
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/utils/changePosition.js", "JavaScript", 24, 0, 0, 0, 6, 30
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/utils/collisionChecker.js", "JavaScript", 16, 0, 0, 5, 5, 26
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/utils/handleKeyPress.js", "JavaScript", 41, 0, 0, 1, 13, 55
"/Users/paulstevens/alchemy/career-track/loving-monsters-fe/src/utils/socketController.js", "JavaScript", 5, 0, 0, 0, 5, 10
"Total", "-", 2478, 362, 12, 69, 420, 3341
